AUTO_ID;MERK;BOUWJAAR;KILOMETER_STAND;VRAAGPRIJS;EXTERIEUR_KLEUR;BRANDSTOF;CARROSSERIEVORM;MODEL
30017245;RENAULT;2011;53518;5744;GRIJS;DIESEL;HATCHBACK;CLIO
30017429;PORSCHE;2007;90210;79495;WIT;BENZINE;COUPE;911
30019197;LANCIA;1998;242363;5750;GRIJS;BENZINE;COUPE;KAPPA
30019768;PEUGEOT;2014;41812;13950;BRUIN;BENZINE;HATCHBACK;308
30022011;OPEL;2012;60902;10770;GRIJS;BENZINE;MPV;MERIVA
30022084;VOLKSWAGEN;2013;59901;8450;ZWART;BENZINE;HATCHBACK;UP!
30022293;SEAT;2003;174381;3480;BEIGE;BENZINE;HATCHBACK;LEON
30024223;RENAULT;2004;146220;3950;GRIJS;DIESEL;MPV;ESPACE
30024252;MERCEDES-BENZ;1998;193040;2649;GRIJS;BENZINE;HATCHBACK;A-KLASSE
30024424;BMW;2003;283667;3250;ZWART;DIESEL;SEDAN;3-SERIE
30024457;CITROEN;2012;7829;9995;ZWART;BENZINE;HATCHBACK;C3
30024529;KIA;2004;143568;1849;GRIJS;BENZINE;SEDAN;RIO
30060364;SUZUKI;1985;67271;4950;BLAUW;BENZINE;HATCHBACK;ALTO
30060884;AUDI;2011;122444;11500;ROOD;BENZINE;HATCHBACK;A3
30060926;FORD;1997;199068;1950;PAARS;DIESEL;SEDAN;MONDEO
30060940;VOLKSWAGEN;2012;90126;7990;WIT;DIESEL;BEDRIJFSWAGEN;CADDY
30062411;BMW;1999;155284;5245;GRIJS;BENZINE;SEDAN;3-SERIE
30062446;PEUGEOT;2002;189625;2950;BLAUW;BENZINE;CABRIOLET;206
30062810;VOLKSWAGEN;1998;335871;1650;GRIJS;BENZINE;SEDAN;PASSAT
30062867;BMW;2006;75000;0;BEIGE;BENZINE;COUPE;6-SERIE
30062875;RENAULT;2003;228391;2699;BLAUW;BENZINE;MPV;GRAND ESPACE
30062944;PEUGEOT;2001;376146;1250;BLAUW;DIESEL;STATIONWAGEN;406
30063066;SUZUKI;1983;35151;19950;GRIJS;BENZINE;COUPE;SC-100
30063127;VOLKSWAGEN;2003;336313;2999;BLAUW;DIESEL;STATIONWAGEN;PASSAT
30063136;BMW;2000;253000;3999;ZILVER;DIESEL;SEDAN;5-SERIE
30063160;VOLVO;1999;221000;4999;GRIJS;BENZINE;SEDAN;S70
30063163;PEUGEOT;2006;214825;3599;GRIJS;DIESEL;STATIONWAGEN;407
30063376;SUZUKI;1996;3954;25000;ROOD;BENZINE;CABRIOLET;CAPPUCCINO
30064087;PEUGEOT;2011;52600;11950;GRIJS;BENZINE;HATCHBACK;207
30064866;PEUGEOT;2005;93931;4950;BEIGE;BENZINE;SEDAN;407
30066573;PEUGEOT;1996;114743;4600;BEIGE;BENZINE;CABRIOLET;306
30068701;VOLVO;1995;326135;2250;ROOD;BENZINE;STATIONWAGEN;800-SERIE
30073725;RENAULT;2015;72000;6800;WIT;BENZINE;HATCHBACK;TWINGO
30074170;MERCEDES-BENZ;2008;165000;25995;ZWART;LPG / BENZINE;SUV;M-KLASSE
30075091;PEUGEOT;2013;18798;27900;GRIJS;BENZINE;SEDAN;508
30079285;MERCEDES-BENZ;2002;196141;5950;GROEN;DIESEL;SEDAN;E-KLASSE
30079289;MERCEDES-BENZ;2002;214268;4950;BLAUW;DIESEL;STATIONWAGEN;C-KLASSE
30079307;OPEL;2006;517730;1450;WIT;DIESEL;BEDRIJFSWAGEN;MOVANO
30079327;FORD;2006;218300;2950;BLAUW;BENZINE;STATIONWAGEN;MONDEO
30079345;CHRYSLER;2006;189696;2950;GRIJS;DIESEL;MPV;PT CRUISER
30079359;RENAULT;1994;20194;650;ZWART;BENZINE;CABRIOLET;19
30079387;HONDA;1998;344516;1250;ZWART;LPG;COUPE;PRELUDE
30079391;MERCEDES-BENZ;2011;245136;9950;GRIJS;DIESEL;STATIONWAGEN;E-KLASSE
30079495;PEUGEOT;1998;239181;1950;GRIJS;BENZINE;COUPE;406
30079531;CITROEN;2003;193987;1450;WIT;DIESEL;HATCHBACK;SAXO
30079569;PEUGEOT;2005;290304;2950;BLAUW;DIESEL;STATIONWAGEN;407
30079675;MERCEDES-BENZ;2005;165156;10950;GRIJS;BENZINE;CABRIOLET;SLK
30079775;EURA MOBIL;2002;63761;26950;WIT;DIESEL;CAMPER;230
30081029;FIAT;2013;140000;9950;GRIJS;DIESEL;HATCHBACK;500L
30081290;VOLKSWAGEN;2009;194013;6000;WIT;DIESEL;BEDRIJFSWAGEN;CADDY
30084613;OPEL;2005;192339;3749;BLAUW;BENZINE;CABRIOLET;TIGRA
30084627;RENAULT;2000;464881;950;BLAUW;LPG;STATIONWAGEN;LAGUNA
30084647;RENAULT;2002;177535;4750;GROEN;BENZINE;STATIONWAGEN;LAGUNA
30084651;RENAULT;1998;217201;1750;GRIJS;BENZINE;HATCHBACK;LAGUNA
30084654;RENAULT;2001;143020;3750;GROEN;BENZINE;STATIONWAGEN;MEGANE
30084683;RENAULT;1999;181523;2750;GROEN;BENZINE;STATIONWAGEN;MEGANE
30084691;RENAULT;1993;148775;500;GRIJS;BENZINE;HATCHBACK;SAFRANE
30084696;BMW;1989;122147;2950;GRIJS;BENZINE;SEDAN;3-SERIE
30086940;RENAULT;2002;180558;1949;GROEN;BENZINE;COUPE;MEGANE
30087338;RENAULT;2005;195966;14995;ZWART;DIESEL;BEDRIJFSWAGEN;MASTER
30087621;HYUNDAI;2006;106260;3450;BLAUW;BENZINE;HATCHBACK;GETZ
30087623;RENAULT;2008;107181;3695;GRIJS;BENZINE;HATCHBACK;TWINGO
30087640;VOLKSWAGEN;1998;140618;3250;BLAUW;BENZINE;CABRIOLET;GOLF
30088564;KIA;2013;74301;15945;GRIJS;DIESEL;SUV;SPORTAGE
30088811;MERCEDES-BENZ;2012;117000;19900;GRIJS;DIESEL;CABRIOLET;E-KLASSE
30090809;AUDI;2012;117027;29450;BRUIN;BENZINE;SUV;A4 ALLROAD
30090905;CHRYSLER;2000;122459;6000;GROEN;DIESEL;MPV;VOYAGER
30090916;OPEL;1998;187279;3500;GROEN;DIESEL;SEDAN;OMEGA
30090922;MITSUBISHI;1999;202154;2500;ZWART;LPG;HATCHBACK;CARISMA
30090937;RENAULT;2003;145583;5950;GROEN;DIESEL;STATIONWAGEN;LAGUNA
30090965;VOLVO;1999;291348;1950;ZWART;BENZINE;STATIONWAGEN;V40
30091086;MERCEDES-BENZ;1988;305982;4450;GRIJS;BENZINE;SEDAN;TN/T-SERIE
30093480;TOYOTA;2012;46000;6950;ZWART;BENZINE;HATCHBACK;AYGO
30093481;TOYOTA;2012;42000;7445;ZWART;BENZINE;HATCHBACK;AYGO
30093561;FORD;2015;76327;8790;WIT;DIESEL;BEDRIJFSWAGEN;TRANSIT COURIER
30093714;MERCEDES-BENZ;2001;110634;17900;ZWART;BENZINE;SEDAN;S-KLASSE
30093753;BMW;2002;140218;9950;BLAUW;BENZINE;SEDAN;3-SERIE
30093776;RENAULT;2003;137817;5750;GRIJS;BENZINE;STATIONWAGEN;LAGUNA
30093777;BMW;2001;183077;6500;GRIJS;BENZINE;SEDAN;3-SERIE
30093779;RENAULT;2002;151840;4750;GROEN;BENZINE;STATIONWAGEN;LAGUNA
30093783;RENAULT;1993;147278;4750;PAARS;BENZINE;CABRIOLET;19
30093784;RENAULT;2003;27054;10750;BEIGE;BENZINE;MPV;ESPACE
30094031;MERCEDES-BENZ;1997;428118;2500;ZWART;DIESEL;SEDAN;E-KLASSE
30094535;OPEL;2000;199316;2750;BLAUW;DIESEL;STATIONWAGEN;VECTRA
30094552;PEUGEOT;2010;112258;6990;BLAUW;BENZINE;HATCHBACK;308
30095425;SUBARU;2013;116433;11950;ZILVER;DIESEL;HATCHBACK;TREZIA
30095635;BMW;2006;129949;25950;ZWART;BENZINE;COUPE;6-SERIE
30095689;BMW;2006;130687;27950;ZWART;BENZINE;CABRIOLET;6-SERIE
30095930;AUDI;2010;181228;10950;ZWART;DIESEL;SEDAN;A6
30095949;JAGUAR;2012;70979;39950;ROOD;DIESEL;SEDAN;XJ
30096564;RENAULT;2011;50106;12950;GRIJS;BENZINE;STATIONWAGEN;MEGANE
30096982;OPEL;2012;172125;11999;GRIJS;HYBRIDE;HATCHBACK;AMPERA
30098298;FORD;2013;80376;14940;WIT;DIESEL;BEDRIJFSWAGEN;TRANSIT
30099415;FIAT;2006;139772;4245;GRIJS;BENZINE;MPV;IDEA
30099778;OPEL;2005;98068;5245;GRIJS;BENZINE;MPV;MERIVA
30100659;RENAULT;2001;176613;5750;BLAUW;BENZINE;HATCHBACK;LAGUNA
30100706;BMW;1989;159767;10000;ZWART;BENZINE;SEDAN;3-SERIE
30100751;BMW;1993;155727;4750;GROEN;BENZINE;STATIONWAGEN;3-SERIE
30100752;RENAULT;1996;298958;1250;GRIJS;BENZINE;HATCHBACK;SAFRANE
30100780;RENAULT;2007;98525;4750;ZWART;BENZINE;HATCHBACK;TWINGO
